total_tokes,max_seqlen,batch_size,Atten_qkv_time,Atten_flash_time,Atten_linear_time,total_time
32768,1327,42,56438.785552978516,5997.568130493164,20039.68048095703,82476.03416442871
32768,1524,38,58404.80041503906,7285.759925842285,21573.631286621094,87264.19162750244
32768,1879,39,60663.8069152832,7384.064197540283,21761.024475097656,89808.89558792114
32768,1565,41,58391.55197143555,6993.919849395752,20989.952087402344,86375.42390823364
32768,1474,41,58227.71072387695,6581.247806549072,20319.232940673828,85128.19147109985
32768,1263,42,57308.15887451172,6082.560062408447,20259.84001159668,83650.55894851685
32768,1573,42,56964.09606933594,6228.991985321045,20636.4803314209,83829.56838607788
32768,1634,41,56797.183990478516,6417.407989501953,20167.680740356445,83382.27272033691
32768,1350,39,56801.2809753418,6529.952049255371,19853.31153869629,83184.54456329346
32768,1348,39,56936.19155883789,6593.535900115967,19996.671676635742,83526.3991355896
32768,1886,38,56507.39288330078,6748.032093048096,20112.607955932617,83368.0329322815
32768,1391,39,56548.3512878418,6558.720111846924,20640.76805114746,83747.83945083618
32768,1436,39,58628.09753417969,6747.136116027832,20811.77520751953,86187.00885772705
32768,1480,40,59801.60140991211,6952.960014343262,20951.040267944336,87705.6016921997
32768,1824,38,59089.88952636719,7107.583999633789,21606.399536132812,87803.87306213379
32768,1554,37,59204.60891723633,7211.904048919678,20293.792724609375,86710.30569076538
32768,1603,37,58014.72091674805,7029.759883880615,20409.183502197266,85453.66430282593
32768,1385,39,57851.905822753906,6561.791896820068,20934.656143188477,85348.35386276245
32768,1314,39,57115.55099487305,6530.04789352417,20469.76089477539,84115.35978317261
32768,1487,41,57064.449310302734,6404.0961265563965,19938.304901123047,83406.85033798218
32768,1469,38,56702.97622680664,6644.735813140869,20014.816284179688,83362.5283241272
32768,1360,41,56349.50256347656,6223.872184753418,20294.65675354004,82868.03150177002
32768,1556,38,56984.57717895508,6647.744178771973,20605.9513092041,84238.27266693115
32768,1604,39,58425.34255981445,6796.383857727051,20638.784408569336,85860.51082611084
32768,1466,41,58872.737884521484,6608.831882476807,20531.295776367188,86012.86554336548
32768,1352,37,58520.57647705078,7082.784175872803,21262.33673095703,86865.69738388062
32768,1396,42,59908.09631347656,6475.488185882568,20714.399337768555,87097.98383712769
32768,1208,43,58360.83221435547,6319.104194641113,20615.968704223633,85295.90511322021
32768,1540,40,57349.12109375,6621.1838722229,20505.599975585938,84475.90494155884
32768,1515,37,58083.13751220703,6787.07218170166,20837.215423583984,85707.42511749268
32768,1501,38,57387.00866699219,6839.295864105225,20317.184448242188,84543.4889793396
32768,1245,42,57903.934478759766,6250.688076019287,19958.784103393555,84113.40665817261
32768,1553,41,55970.62301635742,6151.167869567871,20094.9764251709,82216.76731109619
32768,1205,42,58123.26431274414,6209.536075592041,21011.423110961914,85344.2234992981
32768,1351,41,58025.98571777344,6605.823993682861,20584.447860717773,85216.25757217407
32768,1305,39,57846.561431884766,6701.056003570557,20546.560287475586,85094.17772293091
32768,1845,39,57639.041900634766,7009.280204772949,20932.44743347168,85580.7695388794
32768,1335,42,59283.45489501953,6625.279903411865,21233.66355895996,87142.39835739136
32768,1383,41,58782.49740600586,6623.231887817383,20811.519622802734,86217.24891662598
32768,1248,41,58125.21743774414,6463.263988494873,20577.280044555664,85165.76147079468
32768,1213,41,58292.19055175781,6389.7600173950195,21146.623611450195,85828.57418060303
32768,1414,42,58106.88018798828,6427.648067474365,20535.104751586914,85069.63300704956
32768,1748,41,57788.12789916992,6872.064113616943,20445.1847076416,85105.37672042847
32768,1483,41,56921.85592651367,6336.575984954834,20268.03207397461,83526.46398544312
32768,1315,40,57531.39114379883,6397.952079772949,20812.671661376953,84742.01488494873
32768,1304,40,58226.688385009766,6539.26420211792,20490.2400970459,85256.19268417358
32768,1374,40,58270.721435546875,6537.951946258545,20491.26434326172,85299.93772506714
32768,1174,43,58098.43063354492,6152.959823608398,20836.25602722168,85087.646484375
32768,1764,40,59042.816162109375,7066.624164581299,21008.384704589844,87117.82503128052
32768,1592,39,58749.8893737793,6755.328178405762,20509.599685668945,86014.817237854
